date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:07	145254/145254	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Jul%202021%2007:06:01%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400.svg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400.svg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:09	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jul%202021%2007:06:00%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400.eot?	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400d41d.eot	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:10	34092/34092	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2019%20Jul%202021%2007:06:01%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400.ttf	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-regular-400.ttf	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:13	129612/129612	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2019%20Jul%202021%2007:05:59%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-brands-400.ttf	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-brands-400.ttf	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:21	74256/74256	---M--	200	added ('OK')	font/woff2	date:Mon,%2019%20Jul%202021%2007:06:04%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.woff2	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.woff2	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:26	96256/96256	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2019%20Jul%202021%2007:06:03%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.woff	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.woff	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:30	821453/821453	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Jul%202021%2007:06:03%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.svg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.svg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:40	56866/56866	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jul%202021%2007:06:04%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.eot	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.eot	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:40	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jul%202021%2007:06:02%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.eot	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.eot	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:45	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jul%202021%2007:06:02%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.eot?	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900d41d.eot	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:45	28420/28420	---M--	200	added ('OK')	font/woff2	date:Mon,%2019%20Jul%202021%2007:06:06%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.woff2	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.woff2	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:49	56866/56866	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jul%202021%2007:06:04%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.eot?	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticond41d.eot	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:51	395000/395000	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Jul%202021%2007:06:05%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.svg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.svg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:52	279/279	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2010:25:52%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/Flaticon.svg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/Flaticon.svg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:52	33724/33724	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2019%20Jul%202021%2007:06:06%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.woff	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.woff	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:53	279/279	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2010:25:54%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/css/owl-carousel/owl.video.play.png	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/css/owl-carousel/owl.video.play.png	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/owl-carousel/owl.carousel.min.css)
15:55:53	186444/186444	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2019%20Jul%202021%2007:06:03%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.ttf	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/fa-solid-900.ttf	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/font-awesome/all.min.css)
15:55:54	56688/56688	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2019%20Jul%202021%2007:06:05%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.ttf	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/fonts/Flaticon.ttf	(from http://themes.potenzaglobalsolutions.com/html/real-villa/css/flaticon/flaticon.css)
15:55:55	4488/4488	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:17%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:55:56	6669/6669	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:18%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/03.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/03.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:55:58	7357/7357	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:19%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/06.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/avatar/06.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:01	64792/64792	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:52%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:07	76290/76290	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:53%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/03.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/03.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:08	73717/73717	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:55%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/06.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/property/grid/06.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:09	12517/12517	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jul%202021%2007:06:08%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/building-bg.png	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/building-bg.png	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:13	21307/21307	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:14%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/agent/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/agent/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:13	93779/93779	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:46%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/property/big-img-01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/property/big-img-01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
